id,imdb_id,title,year,oscar_winner,oscar_nominated,director_name,director_prev_wins,director_prev_nominations,cast_prestige,is_top_studio,is_biopic,budget,revenue,popularity,vote_average,vote_count,mpaa_rating,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,overview,original_language,release_date,director_id,actor_1_id,actor_1_name,actor_2_id,actor_2_name,actor_3_id,actor_3_name,studios,keywords,country_iso_2,poster_path,backdrop_path,video,adult,country_iso_3,inflation,gdp_growth,gdp_per_capita,gini_index,unemployment,log_budget,log_cast_prestige,is_rated_R,release_month,is_gold_season,keyword_oscar_score,prob_win,final_score
760329,tt11214558,The Smashing Machine,2025,0,0,Benny Safdie,0,0,0,1,1,50000000,10057115,22.6625,6.489,229,R,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"In the late 1990s, up-and-coming mixed martial artist Mark Kerr aspires to become the greatest fighter in the world. However, he must also battle his opioid dependence and a volatile relationship with his girlfriend Dawn.",en,2025-10-01,227564.0,18918.0,Dwayne Johnson,5081.0,Emily Blunt,83427.0,Ryan Bader,A24|Seven Bucks Productions|Out for the Count|Magnetic Fields Entertainment,drug addiction|biography|based on true story|mixed martial arts (mma)|price of fame|1990s|sports drama|depressed|self awareness|biographical drama,US,/mPuBDGrVIBGOymBxR6rO3iIvBSe.jpg,/vfbryKoLrisx8Xh37OaTjTyrFY0.jpg,False,False,USA,,,,,,17.72753358339242,0.0,1,10,1,3,0.9603855932007104,1.1044434321808168
1242419,tt4627382,Roofman,2025,0,0,Derek Cianfrance,0,0,0,0,1,18000000,28918350,62.6028,7.182,201,R,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"A former Army Ranger and struggling father turns to robbing McDonald’s restaurants by cutting holes in their roofs, earning him the nickname 'Roofman'. After escaping prison, he secretly lives inside a Toys “R” Us for six months, surviving undetected while planning his next move. But when he falls for a divorced mom drawn to his undeniable charm, his double life begins to unravel, setting off a compelling and suspenseful game of cat and mouse as his past closes in.",en,2025-10-08,139098.0,38673.0,Channing Tatum,205.0,Kirsten Dunst,77335.0,Ben Mendelsohn,Limelight|High Frequency Entertainment|51 Entertainment|Miramax|Von Waaden Entertainment|FilmNation Entertainment|Hunting Lane Films,based on true story|true crime|toy store|escaped prisoner|amused,US,/uhXxW7EmzZIWFVpbF42r6L2g7Oh.jpg,/2YOnE2qmoyyOUqQsFit12gDSauk.jpg,False,False,USA,,,,,,16.705882371415992,0.0,1,10,1,1,0.9021054267906237,0.9472106981301549
1265063,tt32159989,After the Hunt,2025,0,0,Luca Guadagnino,0,1,0,1,0,80000000,9299531,81.7636,6.042,204,R,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"A college professor finds herself at a personal and professional crossroads when a star pupil levels an accusation against one of her colleagues, and a dark secret from her own past threatens to come to light.",en,2025-10-09,78160.0,1204.0,Julia Roberts,2195140.0,Ayo Edebiri,37625.0,Andrew Garfield,Frenesy Film|Imagine Entertainment|Big Indie Pictures|Amazon MGM Studios,husband wife relationship|philosophy|narcissism|plagiarism|yale university|female protagonist|psychological thriller|ulcer|generation gap|sexless marriage|sexual assault|college professor|academia|accusation|2010s|student mentor relationship|affair|philosophy professor|tenure|ambiguous,US,/ryF8QPGUGlo8gRB4OYKb4J0r3aJ.jpg,/8jHvHZPiw6h3Xfy0cv3m7H40O8e.jpg,False,False,USA,,,,,,18.197537205138154,0.0,1,10,1,0,0.9287398496047187,0.9287398496047187
1364608,tt33549447,Anemone,2025,0,0,Ronan Day-Lewis,0,0,0,0,0,11000000,1161830,16.358,6.3,58,R,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Middle-aged Jem sets out from his suburban home on a journey into the woods, where he reconnects with his estranged hermit brother Ray. Bonded by a mysterious, complicated past, the men share a fraught, if occasionally tender relationship—one that was forever altered by shattering events decades earlier.",en,2025-10-02,4974782.0,11856.0,Daniel Day-Lewis,48.0,Sean Bean,2206.0,Samantha Morton,Focus Features|Plan B Entertainment|Absinthe Film Entertainment,family relationships|family dynamics|father son relationship|brother brother relationship,GB,/kXFHVJqZkWtkSRlLpv2clN8KP6E.jpg,/7BVyUTP33BTXWlulZWGiRWJILkp.jpg,False,False,GBR,,,,,,16.213405921671733,0.0,1,10,1,1,0.8832427025778274,0.9274048377067189
1214931,tt29567915,Nuremberg,2025,0,0,James Vanderbilt,0,0,0,0,1,11800000,10962391,20.5553,7.405,21,PG-13,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,"In postwar Germany, an American psychiatrist must determine whether Nazi prisoners are fit to go on trial for war crimes, and finds himself in a complex battle of intellect and ethics with Hermann Göring, Hitler's right-hand man.",en,2025-11-06,20204.0,934.0,Russell Crowe,17838.0,Rami Malek,335.0,Michael Shannon,Bluestone Entertainment|Walden Media|Filmsquad|Titan Media|Mythology Entertainment,"based on novel or book|nuremberg trials|nuremberg, germany|post world war ii|historical drama|1940s|distressing",US,/gOPHBaJJNpNDEnTHmDixg5JS8yp.jpg,/xsO1Qgru8sETLTcVla8MrqxOVr0.jpg,False,False,USA,,,,,,16.283610174181653,0.0,0,11,1,2,0.8283255951695636,0.9111581546865201
1327862,tt33088452,Regretting You,2025,0,0,Josh Boone,0,0,0,0,0,30000000,83106420,30.0431,7.1,76,PG-13,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Morgan Grant and her daughter Clara explore what's left behind after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover each other.",en,2025-10-22,1053420.0,1172108.0,Mckenna Grace,1255540.0,Allison Williams,54697.0,Dave Franco,Harbinger Pictures|Frayed Pages Media|Domain Entertainment|Constantin Film,high school|based on novel or book|aunt niece relationship|north carolina|death of father|car crash|underage drinking|tragedy|family drama|death of husband|underage smoking|death of wife|complex relationship|mother daughter relationship|sister sister relationship|grandfather grandson relationship|2000s|high school romance|loss of husband|cinephile|romantic|loss and grief|marijuana use|loss of father,US,/z4gVnxTaks3anTycwKjDmvQSuWt.jpg,/ril2LHOGbmjHHV3asPHWKDdtGyG.jpg,False,False,USA,,,,,,17.216707972959764,0.0,0,10,1,0,0.8587403923804313,0.8587403923804313
83533,tt1757678,Avatar: Fire and Ash,2025,0,0,James Cameron,1,3,0,0,0,250000000,0,32.9043,0.0,0,PG-13,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",en,2025-12-17,2710.0,65731.0,Sam Worthington,8691.0,Zoe Saldaña,10205.0,Sigourney Weaver,20th Century Studios|Lightstorm Entertainment|TSG Entertainment,sequel,US,/g96wHxU7EnoIFwemb2RgohIXrgW.jpg,/iN41Ccw4DctL8npfmYg1j5Tr1eb.jpg,False,False,USA,,,,,,19.33697147982652,0.0,0,12,1,0,0.8563834826189171,0.8563834826189171
701387,tt12300742,Bugonia,2025,0,0,Yorgos Lanthimos,0,1,0,0,0,50000000,32193187,24.9946,7.685,370,R,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",en,2025-10-23,122423.0,54693.0,Emma Stone,88124.0,Jesse Plemons,5212114.0,Aidan Delbis,Element Pictures|Square Peg|Fremantle|Pith Quest Films|Fruit Tree|CJ ENM,saving the world|capitalism|kidnapping|paranoia|delusion|symbolism|dark comedy|satire|remake|extraterrestrial|alien invasion|power politics|mental illness|hierarchy|global threat|absurdism|political conflict|alien conspiracy|ecologism|social critique|black comedy,GR,/oxgsAQDAAxA92mFGYCZllgWkH9J.jpg,/jihTSrMksmU5ujqRZnc6SBFSyfq.jpg,False,False,GRC,,,,,,17.72753358339242,0.0,1,10,1,1,0.8117998880186978,0.8523898824196328
1135303,tt15431864,The Senior,2025,0,0,Rod Lurie,0,0,0,0,1,1050000,4480301,39.7506,5.962,13,PG,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"At 59, Mike Flynt may be too old to be on a college football field, but not too old to feel the weight of unfinished business. After nearly four decades, he returns to his alma mater to take the hit that changed everything. Bruised, doubted, and nearly broken, he pushes for one more game, not for glory, but for the teammates he lost, the family he fractured, and the ending he still believes is possible.",en,2025-09-18,21526.0,19654.0,Michael Chiklis,31140.0,Mary Stuart Masterson,1636739.0,Brandon Flynn,Wayfarer Studios|Ten Acre Films|Select Films,sports|american football|based on true story|sports drama,US,/sv3kE86knrukjpGTtLLfg246JFx.jpg,/hfrWfc7wLeex6vPuhaDR4lweZx2.jpg,False,False,USA,,,,,,13.864301674514206,0.0,0,9,0,1,0.8019010371357911,0.8419960889925807
696506,tt12299608,Mickey 17,2025,0,0,Bong Joon Ho,1,1,0,1,0,118000000,131847147,15.4938,6.9,2883,R,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",en,2025-02-28,21684.0,11288.0,Robert Pattinson,1537686.0,Naomi Ackie,215055.0,Steven Yeun,Warner Bros. Pictures|Plan B Entertainment|Offscreen|Kate Street Picture Company|Domain Entertainment,based on novel or book|dark comedy|space travel|space colony|alien planet|creature|space adventure|human clone|spaceship|space sci-fi|black comedy,US,/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg,/hGLywNhy1Fo1rNFHsNZsXGS69B8.jpg,False,False,USA,,,,,,18.586195190904515,0.0,1,2,0,0,0.8375132189429372,0.8375132189429372
